Securities Info - Securities,,,,,,,,,,,,,,,,,,,,,
As of 09/10/2025
Security No,ISIN ,Name (Hebrew),Name (English),Symbol (Hebrew),Symbol (English),Type of Security (Hebrew),Type of Security (English),Company Supersector (Hebrew),Company Supersector (English),Company Sector (Hebrew),Company Sector (English),Company Subsector (Hebrew),Company Subsector (English),Index Membership (Hebrew),Index Membership (English),Corporate No.,Issuer No.,Issuer Name (Hebrew),Issuer Name (English),Incorporation (Hebrew),Incorporation (English)
1209790,IL0012097908,אבו פמילי אגח א,ABOU FAMILY B1,אבופ.ק1,ABUF.B1,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,,,516456084,2442,אבו פמילי,ABOU FAMILY,ישראל,Israel
1101666,IL0011016669,אברא,ABRA,אברא,ABRA,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,שרותי מידע,IT Services,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite",512512468,1397,אברא,ABRA,ישראל,Israel
770016,IL0007700169,אקסל,ACCEL,אקסל,ACCL,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,שרותי מידע,IT Services,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית ,ת''א-רימון","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite ,TA-Rimon",520031345,770,אקסל,ACCEL,ישראל,Israel
1176205,IL0011762056,קבוצת אקרשטיין,ACKERSTEIN GRP.,אקרש,ACKR,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,"ת''א-90 ,ת''א-125 ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-תעשייה ,ת''א-פמילי ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Industrials ,TA-Family ,TA-125 Fossil Free",512714494,1896,אקרשטיין קבוצה,ACKERSTEIN GRO,ישראל,Israel
1188572,IL0011885725,אקרו      אגח א,ACRO     B1,אקרו.ק1,ACRO.B1,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"מדד תל בונד שקלי ,תל בונד-שקלי 0-3 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-תשואות שקלי ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 0-3 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Yields Shekel ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",511996803,2360,אקרו קבוצה,ACRO,ישראל,Israel
1226059,IL0012260597,אקרו      אגח ב,ACRO B2,אקרו.ק2,ACRO.B2,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"מדד תל בונד שקלי ,תל בונד-מאגר ,תל בונד-שקלי 5-15 ,תל בונד-לא צמודות ,תל בונד-תשואות שקלי ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי",,511996803,2360,אקרו קבוצה,ACRO,ישראל,Israel
1184902,IL0011849028,אקרו,ACRO KVUT,אקרו,ACRO,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-בנייה ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Construction ,TA-125 Fossil Free",511996803,2360,אקרו קבוצה,ACRO,ישראל,Israel
1110915,IL0011109159,אדמה אגח ב,ADAMA .B2,אדמה.ק2,ADAMA.B2,אג''ח קונצרני,Corporate bond,ריאלי,Real,תעשיה,Industry,"כימיה, גומי ופלסטיק","Chemical, Rubber & Plastic","מדד תל - בונד 20 ,מדד תל בונד 60 ,תל בונד צמודות ,תל בונד-צמודות 5-15 ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel-Bond 20 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked 5-15 ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520043605,1063,אדמה,ADAMA,ישראל,Israel
1820208,IL0018202080,אדגר      אגח י,ADGAR       B10,אדגר.ק10,ADGR.B10,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-תשואות ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Yields ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel
1820281,IL0018202817,אדגר     אגח יא,ADGAR       B11,אדגר.ק11,ADGR.B11,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-תשואות ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Yields ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel
1820331,IL0018203310,אדגר     אגח יב,ADGAR     B12,אדגר.ק12,ADGR.B12,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד צמודות ,תל בונד-צמודות 3-5 ,תל בונד צמודות-יתר ,תל בונד-תשואות ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked 3-5 ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Yields ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel
1207158,IL0012071580,אדגר     אגח יג,ADGAR B13,אדגר.ק13,ADGR.B13,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-צמודות 5-15 ,תל בונד-תשואות ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-CPI Linked 5-15 ,Tel Bond-Yields ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel
1820083,IL0018200837,אדגר,ADGAR INV.,אדגר,ADGR,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"ת''א-SME60 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-מניב חו''ל","TA-SME60 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Investment Properties Abroad",520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel
1228931,IL0012289315,אדגר       אפ 9,ADGAR W9,אדגר.א9,ADGR.W9,אופציה למניה,Warrant for share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,,,520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel
363010,IL0003630105,אירודרום קבוצה,AERODROME GROUP,ארדמ,ARDM,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ביטחוניות,Defence,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א-תעשייה","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Industrials",520037607,363,אירודרום קבוצה,AERODROME GROUP,ישראל,Israel
1133131,IL0011331316,תעש אוירית אגחד,AEROSPACE IN B4,תעא.ק4,ARSP.B4,אג''ח קונצרני,Corporate bond,הייטק,High-Tech,טכנולוגיה,Technology,ביטחוניות,Defence,,,520027194,1457,תעשיה אוירית,AEROSPACE INDUS,ישראל,Israel
